Bandit,Reward,Algorithm
3,5.292900545976836,Thompson-Sampling
3,5.745776072814431,Thompson-Sampling
3,3.8179212983686086,Thompson-Sampling
3,3.572618535855821,Thompson-Sampling
3,5.773938799580181,Thompson-Sampling
3,3.257917199341487,Thompson-Sampling
3,3.394867045021913,Thompson-Sampling
3,3.6649535263925173,Thompson-Sampling
3,3.520316068953815,Thompson-Sampling
3,4.441285476796786,Thompson-Sampling
3,5.865072572521295,Thompson-Sampling
3,3.7947905714974492,Thompson-Sampling
3,3.952566871280047,Thompson-Sampling
3,3.361408290981235,Thompson-Sampling
3,3.0440240342523337,Thompson-Sampling
3,4.417564489537022,Thompson-Sampling
3,2.2912815957016557,Thompson-Sampling
3,3.7524023234958093,Thompson-Sampling
3,3.947443883403051,Thompson-Sampling
3,3.6707096904347027,Thompson-Sampling
3,4.9132985075321205,Thompson-Sampling
3,3.5478824006167464,Thompson-Sampling
3,4.659468380461171,Thompson-Sampling
3,2.029217579838773,Thompson-Sampling
3,4.804136831419471,Thompson-Sampling
3,3.565620870561076,Thompson-Sampling
3,4.693899072840593,Thompson-Sampling
3,4.961906906704066,Thompson-Sampling
3,4.362106275224603,Thompson-Sampling
3,4.992667672627058,Thompson-Sampling
3,4.250313398321615,Thompson-Sampling
3,5.924779677366871,Thompson-Sampling
3,3.342438372937209,Thompson-Sampling
3,4.549290810039245,Thompson-Sampling
3,4.9802093482263174,Thompson-Sampling
3,4.175658677830205,Thompson-Sampling
3,4.3779046840883415,Thompson-Sampling
3,6.041119191161363,Thompson-Sampling
3,4.283988861504808,Thompson-Sampling
3,2.7199167395616053,Thompson-Sampling
3,2.8934718511966815,Thompson-Sampling
3,2.432709315133679,Thompson-Sampling
3,4.094862935418436,Thompson-Sampling
3,4.2987761924225305,Thompson-Sampling
3,3.245874370627618,Thompson-Sampling
3,3.877896891642501,Thompson-Sampling
3,4.105393670799302,Thompson-Sampling
3,4.371240972719176,Thompson-Sampling
3,3.7044459912253838,Thompson-Sampling
3,3.2782204504459678,Thompson-Sampling
3,4.613862700467741,Thompson-Sampling
3,4.45549575824798,Thompson-Sampling
3,4.724048505370567,Thompson-Sampling
3,3.5522296634234056,Thompson-Sampling
3,4.224579000511765,Thompson-Sampling
3,2.592332602815417,Thompson-Sampling
3,2.020436621405417,Thompson-Sampling
3,2.9960606382674353,Thompson-Sampling
3,4.604110672425655,Thompson-Sampling
3,5.055304860480133,Thompson-Sampling
3,2.8077021704181604,Thompson-Sampling
3,2.6668085702847746,Thompson-Sampling
3,5.196885653887623,Thompson-Sampling
3,4.202897754764612,Thompson-Sampling
3,5.237095974568147,Thompson-Sampling
3,2.9300702522144,Thompson-Sampling
3,1.652456831767132,Thompson-Sampling
3,3.426383428742554,Thompson-Sampling
3,4.966805533019451,Thompson-Sampling
3,4.601855569180451,Thompson-Sampling
3,3.2415405832134994,Thompson-Sampling
3,4.500154200623649,Thompson-Sampling
3,2.4820716890501684,Thompson-Sampling
3,4.928355691866862,Thompson-Sampling
3,3.5472886775241923,Thompson-Sampling
3,2.932870785040657,Thompson-Sampling
3,3.976191538394957,Thompson-Sampling
3,5.079670540473822,Thompson-Sampling
3,4.316438236979932,Thompson-Sampling
3,2.2211404700555453,Thompson-Sampling
3,4.899384064230722,Thompson-Sampling
3,4.229279820930732,Thompson-Sampling
3,4.550301557511559,Thompson-Sampling
3,4.516292678366824,Thompson-Sampling
3,3.563477948894409,Thompson-Sampling
3,6.330915816077934,Thompson-Sampling
3,4.172483534061726,Thompson-Sampling
3,3.9041023758721587,Thompson-Sampling
3,4.729361987013387,Thompson-Sampling
3,5.248919181326037,Thompson-Sampling
3,3.579026320846563,Thompson-Sampling
3,3.81494550062209,Thompson-Sampling
3,4.735547298300488,Thompson-Sampling
3,3.436438226391721,Thompson-Sampling
3,2.22008547298583,Thompson-Sampling
3,4.531628689124842,Thompson-Sampling
3,4.769617675503355,Thompson-Sampling
3,3.9024962587147325,Thompson-Sampling
3,3.2892190431962045,Thompson-Sampling
3,0.8993008938905707,Thompson-Sampling
3,2.181110646142848,Thompson-Sampling
3,2.7538131422681253,Thompson-Sampling
3,2.8002594418765017,Thompson-Sampling
3,3.38246710209707,Thompson-Sampling
3,3.4407023595744146,Thompson-Sampling
3,3.694415913062808,Thompson-Sampling
3,4.143718138467821,Thompson-Sampling
3,5.151029419940782,Thompson-Sampling
3,4.033784997751338,Thompson-Sampling
3,4.238627224397098,Thompson-Sampling
3,3.850008881269238,Thompson-Sampling
3,3.862088021283698,Thompson-Sampling
3,3.689139514688242,Thompson-Sampling
3,4.326184456934589,Thompson-Sampling
3,3.4465736179974327,Thompson-Sampling
3,3.029670520672722,Thompson-Sampling
3,5.552076066015285,Thompson-Sampling
3,4.895338653397184,Thompson-Sampling
3,2.973887953697151,Thompson-Sampling
3,2.537047217188152,Thompson-Sampling
3,4.626286609663101,Thompson-Sampling
3,3.359878326787059,Thompson-Sampling
3,4.823884495303363,Thompson-Sampling
3,2.629126189869422,Thompson-Sampling
3,4.575723390242483,Thompson-Sampling
3,3.3609197373335973,Thompson-Sampling
3,2.3981692238767747,Thompson-Sampling
3,4.087251067701456,Thompson-Sampling
3,3.859982684576626,Thompson-Sampling
3,4.611353547320875,Thompson-Sampling
3,5.3692496907264164,Thompson-Sampling
3,3.761912997920761,Thompson-Sampling
3,3.49843139561053,Thompson-Sampling
3,4.242706969199653,Thompson-Sampling
3,3.1549829947198487,Thompson-Sampling
3,3.3483935120777715,Thompson-Sampling
3,3.313034742573494,Thompson-Sampling
3,5.014604349346319,Thompson-Sampling
3,5.445099881396818,Thompson-Sampling
3,3.721447321374427,Thompson-Sampling
3,4.0368408156557845,Thompson-Sampling
3,3.3833610499216764,Thompson-Sampling
3,3.3720955599559015,Thompson-Sampling
3,4.621918505433147,Thompson-Sampling
3,4.49622153712572,Thompson-Sampling
3,4.074510004042093,Thompson-Sampling
3,4.700055820723443,Thompson-Sampling
3,3.3175990484316946,Thompson-Sampling
3,3.6846552474639718,Thompson-Sampling
3,4.021349447005488,Thompson-Sampling
3,4.184483668961141,Thompson-Sampling
3,5.176876216685083,Thompson-Sampling
3,4.167785099545514,Thompson-Sampling
3,5.175689427048166,Thompson-Sampling
3,2.7812241673298264,Thompson-Sampling
3,3.684019459182111,Thompson-Sampling
3,5.049251799040213,Thompson-Sampling
3,5.21187401577067,Thompson-Sampling
3,3.557144859507017,Thompson-Sampling
3,3.885049710699736,Thompson-Sampling
3,3.8722385407894357,Thompson-Sampling
3,3.3290608022855395,Thompson-Sampling
3,4.808512754978346,Thompson-Sampling
3,5.777139506474661,Thompson-Sampling
3,4.648880504799581,Thompson-Sampling
3,4.006484921489688,Thompson-Sampling
3,3.2485011226777196,Thompson-Sampling
3,2.9405901022979943,Thompson-Sampling
3,3.99760722631771,Thompson-Sampling
3,2.526001670325267,Thompson-Sampling
3,5.373921814867911,Thompson-Sampling
3,4.87568229713797,Thompson-Sampling
3,4.433455064662031,Thompson-Sampling
3,2.053394611499029,Thompson-Sampling
3,3.996793134034579,Thompson-Sampling
3,2.9238512260205676,Thompson-Sampling
3,4.117674351199593,Thompson-Sampling
3,3.7469290281023313,Thompson-Sampling
3,4.511436032412936,Thompson-Sampling
3,5.0808005944398555,Thompson-Sampling
3,3.7067171266418883,Thompson-Sampling
3,4.302158285446689,Thompson-Sampling
3,3.907850363825633,Thompson-Sampling
3,3.5818956683320184,Thompson-Sampling
3,5.232404347306989,Thompson-Sampling
3,3.7067665773258662,Thompson-Sampling
3,5.9127744987650726,Thompson-Sampling
3,5.402111296941933,Thompson-Sampling
3,3.439707433966909,Thompson-Sampling
3,3.4443888587687557,Thompson-Sampling
3,4.073461501409567,Thompson-Sampling
3,5.843882865269268,Thompson-Sampling
3,4.060833685265747,Thompson-Sampling
3,3.7480953814911144,Thompson-Sampling
3,5.265342281870783,Thompson-Sampling
3,5.381168421017232,Thompson-Sampling
3,4.4368053183835165,Thompson-Sampling
3,2.4102841828611647,Thompson-Sampling
3,4.351876097144444,Thompson-Sampling
